data_hora;semana_do_ano;semana_ano;mes;mes_ano;bimestre;bimestre_ano;trimestre;trimestre_ano;ano;latitude;longitude;geometry;tipo_dado;cluster_label
2022-01-01 09:29:00;52;2022-S52;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.979102839213176;-44.01632096763666;POINT (-44.01631143 -19.97909932);treino;0
2022-01-01 14:45:00;52;2022-S52;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.93820474996066;-43.995805848942084;POINT (-43.9957932 -19.93819705);treino;0
2022-01-01 21:41:00;52;2022-S52;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.949772891166642;-43.984063167841946;POINT (-43.98405035 -19.94975993);treino;0
2022-01-02 07:30:00;52;2022-S52;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.861304561208275;-43.950399394521796;POINT (-43.9504 -19.8613);treino;0
2022-01-03 00:00:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.8765888357338;-43.93743532762789;POINT (-43.93743146 -19.87659065);treino;0
2022-01-03 00:00:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.856036079705344;-43.919404339306375;POINT (-43.91940768 -19.85604203);treino;0
2022-01-03 08:40:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.86580557423053;-43.94988324024129;POINT (-43.9499 -19.8658);treino;0
2022-01-03 09:18:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.917804651906224;-43.94641587406354;POINT (-43.9464145790264 -19.917800521928);treino;0
2022-01-03 09:24:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.84217589309299;-43.968318250191444;POINT (-43.9682958012985 -19.8421666261099);treino;0
2022-01-03 11:57:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.9903806243917;-44.054521149582115;POINT (-44.05451873 -19.99038031);treino;0
2022-01-04 00:00:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.85605051428634;-43.919395746055635;POINT (-43.91940768 -19.85604203);treino;0
2022-01-04 00:00:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.87638646872187;-43.945777439394725;POINT (-43.94577658 -19.8763922);treino;0
2022-01-04 00:00:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.99607167866492;-44.00969556669346;POINT (-44.00971086 -19.99605382);treino;0
2022-01-04 00:00:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.988056426296726;-44.04208150058407;POINT (-44.04208603 -19.98805283);treino;0
2022-01-04 00:00:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.92084865892661;-43.932033762697344;POINT (-43.93201538 -19.92085167);treino;0
2022-01-04 00:00:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.91331407165484;-43.9327263541775;POINT (-43.93272745 -19.91331591);treino;0
2022-01-04 00:00:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.855450019663362;-43.91829884998706;POINT (-43.91830182 -19.85547695);treino;0
2022-01-04 05:56:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.996697011999753;-44.034624166441986;POINT (-44.03463497 -19.99670051);treino;0
2022-01-04 06:16:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.81334756054597;-43.972092493634285;POINT (-43.97211069 -19.81333752);treino;0
2022-01-04 08:34:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.92072418464247;-43.9734337027448;POINT (-43.97344278 -19.92072323);treino;0
2022-01-04 08:38:00;1;2022-S01;1;2022-01;1;2022-B1;1;2022-T1;2022;-19.893872402463334;-43.942870685202024;POINT (-43.94287509 -19.89385464);treino;0
